         10431943 function calls (10401839 primitive calls) in 19.539 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       37    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:632(cached)
        1    0.000    0.000    0.001    0.001 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/multiprocessing/reduction.py:1(<module>)
       25    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:638(_get_cached)
        1    0.000    0.000    0.001    0.001 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/hashlib.py:1(<module>)
     3391    0.001    0.000    0.001    0.000 {method '_is_owned' of '_thread.RLock' objects}
       40    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
       26    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
       40    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      860    0.001    0.000    0.001    0.000 /home/richard/.cache/pypoetry/virtualenvs/neural-net-comparisons-5GTvFZuC-py3.13/lib/python3.13/site-packages/numpy/lib/_function_base_impl.py:2555(<genexpr>)
       14    0.000    0.000    0.001    0.000 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/hashlib.py:126(__get_openssl_constructor)
      270    0.001    0.000    0.001    0.000 {method '__exit__' of 'numpy.nditer' objects}
        1    0.001    0.001    0.001    0.001 {built-in method builtins.eval}
        1    0.000    0.000    0.001    0.001 /home/richard/.cache/pypoetry/virtualenvs/neural-net-comparisons-5GTvFZuC-py3.13/lib/python3.13/site-packages/tqdm/std.py:716(write)
        2    0.000    0.000    0.001    0.001 /home/richard/.cache/pypoetry/virtualenvs/neural-net-comparisons-5GTvFZuC-py3.13/lib/python3.13/site-packages/tqdm/std.py:1265(close)
        1    0.000    0.000    0.001    0.001 /home/richard/.cache/pypoetry/virtualenvs/neural-net-comparisons-5GTvFZuC-py3.13/lib/python3.13/site-packages/tqdm/utils.py:333(_screen_shape_linux)
        1    0.000    0.000    0.001    0.001 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/re/__init__.py:287(compile)
        1    0.000    0.000    0.001    0.001 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/re/__init__.py:330(_compile)
        2    0.000    0.000    0.001    0.000 /home/richard/.cache/pypoetry/virtualenvs/neural-net-comparisons-5GTvFZuC-py3.13/lib/python3.13/site-packages/tqdm/std.py:725(external_write_mode)
       40    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
        2    0.000    0.000    0.001    0.000 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/hashlib.py:82(__get_builtin_constructor)
       31    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
        1    0.000    0.000    0.001    0.001 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/re/_compiler.py:738(compile)
       24    0.001    0.000    0.001    0.000 {method 'write' of '_io.TextIOWrapper' objects}
      324    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
       33    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
       40    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
     2680    0.001    0.000    0.001    0.000 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/concurrent/futures/thread.py:47(__init__)
        1    0.000    0.000    0.001    0.001 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/tempfile.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/contextlib.py:145(__exit__)
     2680    0.001    0.000    0.001    0.000 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/concurrent/futures/_base.py:398(__get_result)
       12    0.001    0.000    0.001    0.000 {built-in method _io.open_code}
     3008    0.001    0.000    0.001    0.000 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/threading.py:605(is_set)
       25    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1615(_get_spec)
       26    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
        1    0.000    0.000    0.001    0.001 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/multiprocessing/synchronize.py:193(__init__)
      270    0.001    0.000    0.001    0.000 {built-in method numpy.array}
       25    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:829(spec_from_file_location)
